District.Code,School.Code,County.Code,County.Name,District.Name,School.Name,City,Zip.Code,School.Type,Type.Label,Math,Reading.and.Writing,Average.Total.Score,Median.HH.Income
3190,050,13,ESSEX,MILLBURN TOWNSHIP,MILLBURN HIGH SCHOOL,Millburn,7041,Public,3,666,660,1326,202862
3230,050,11,CUMBERLAND,MILLVILLE CITY,MILLVILLE SENIOR HIGH SCHOOL,Millville,8332,Public,3,522,530,1052,49950
3260,025,25,MONMOUTH,MONMOUTH COUNTY VOCATIONAL,ACADEMY OF ALLIED HEALTH AND SCIENCE,Freehold,7728,Vocational,2,698,686,1384,86037
3260,028,25,MONMOUTH,MONMOUTH COUNTY VOCATIONAL,BIOTECHNOLOGY HIGH SCHOOL,Freehold,7728,Vocational,2,746,731,1477,86037
3260,004,25,MONMOUTH,MONMOUTH COUNTY VOCATIONAL,COMMUNICATIONS HIGH SCHOOL,Freehold,7728,Vocational,2,673,689,1362,86037
3260,010,25,MONMOUTH,MONMOUTH COUNTY VOCATIONAL,HIGH TECHNOLOGY HIGH SCHOOL,Freehold,7728,Vocational,2,761,739,1500,86037
3260,020,25,MONMOUTH,MONMOUTH COUNTY VOCATIONAL,MARINE ACADEMY OF SCIENCE AND TECHNOLOGY,Freehold,7728,Vocational,2,673,673,1346,86037
3270,050,25,MONMOUTH,MONMOUTH REGIONAL,MONMOUTH REGIONAL HIGH SCHOOL,Tinton Falls,7724,Public,3,537,547,1084,79868
3290,005,23,MIDDLESEX,MONROE TOWNSHIP,MONROE TOWNSHIP HIGH SCHOOL,MONROE TOWNSHIP,8831,Public,3,584,583,1167,74800
3280,050,15,GLOUCESTER,MONROE TOWNSHIP,WILLIAMSTOWN HIGH SCHOOL,Williamstown,8094,Public,3,541,546,1087,74800
3310,050,13,ESSEX,MONTCLAIR TOWN,MONTCLAIR HIGH SCHOOL,Montclair,7042,Public,3,574,585,1159,113293
3320,030,35,SOMERSET,MONTGOMERY TOWNSHIP,MONTGOMERY HIGH SCHOOL,Skillman,8558,Public,3,674,657,1331,176737
3340,010,27,MORRIS,MONTVILLE TOWNSHIP,MONTVILLE TOWNSHIP HIGH SCHOOL,Montville,7045,Public,3,606,596,1202,134752
3360,040,5,BURLINGTON,MOORESTOWN TOWNSHIP,MOORESTOWN HIGH SCHOOL,Moorestown,8057,Public,3,601,601,1202,133902
3365,010,27,MORRIS,MORRIS COUNTY VOCATIONAL,ACADEMY FOR LAW AND PUBLIC SAFETY,Denville,7834,Vocational,2,587,632,1219,116273
3365,050,27,MORRIS,MORRIS COUNTY VOCATIONAL,MORRIS COUNTY SCHOOL OF TECHNOLOGY,Denville,7834,Vocational,2,602,619,1221,116273
3370,050,27,MORRIS,MORRIS HILLS REGIONAL,MORRIS HILLS HIGH SCHOOL,Denville,7866,Public,3,595,586,1181,102712
3370,060,27,MORRIS,MORRIS HILLS REGIONAL,MORRIS KNOLLS HIGH SCHOOL,Denville,7866,Public,3,564,572,1136,102712
3385,050,27,MORRIS,MORRIS SCHOOL DISTRICT,MORRISTOWN HIGH SCHOOL,MORRISTOWN,7960,Public,3,573,583,1156,114844
3450,010,27,MORRIS,MOUNT OLIVE TOWNSHIP,MOUNT OLIVE HIGH SCHOOL,Flanders,7836,Public,3,591,571,1162,86773
3460,050,27,MORRIS,MOUNTAIN LAKES BOROUGH,MOUNTAIN LAKES HIGH SCHOOL,Mt Lakes,7046,Public,3,609,614,1223,175556
3660,050,19,HUNTERDON,N HUNT/VOORHEES REGIONAL,NORTH HUNTERDON HIGH SCHOOL,Annandale,8801,Public,3,619,613,1232,120435
3660,060,19,HUNTERDON,N HUNT/VOORHEES REGIONAL,VOORHEES HIGH SCHOOL,Annandale,8801,Public,3,599,600,1199,120435
3510,050,25,MONMOUTH,NEPTUNE TOWNSHIP,NEPTUNE HIGH SCHOOL,Neptune Twp,7753,Public,3,500,517,1017,67836
3530,050,23,MIDDLESEX,NEW BRUNSWICK CITY,NEW BRUNSWICK HIGH SCHOOL,New Brunswick,8901,Public,3,502,490,992,38413
3550,050,3,BERGEN,NEW MILFORD BOROUGH,NEW MILFORD HIGH SCHOOL,NEW MILFORD,7646,Public,3,543,544,1087,84025
3560,050,39,UNION,NEW PROVIDENCE BOROUGH,NEW PROVIDENCE HIGH SCHOOL,New Providence,7974,Public,3,614,622,1236,129638
3570,087,13,ESSEX,NEWARK CITY,AMERICAN HISTORY HIGH SCHOOL,Newark,7102,Public,3,463,476,939,34826
3570,010,13,ESSEX,NEWARK CITY,ARTS HIGH SCHOOL,Newark,7102,Public,3,487,496,983,34826
3570,304,13,ESSEX,NEWARK CITY,BARD EARLY COLLEGE HIGH SCHOOL,Newark,7102,Public,3,497,518,1015,34826
3570,020,13,ESSEX,NEWARK CITY,BARRINGER ARTS HIGH SCHOOL,Newark,7102,Public,3,395,400,795,34826
3570,030,13,ESSEX,NEWARK CITY,CENTRAL HIGH SCHOOL,Newark,7102,Public,3,406,413,819,34826
3570,040,13,ESSEX,NEWARK CITY,EAST SIDE HIGH SCHOOL,Newark,7102,Public,3,447,439,886,34826
3570,050,13,ESSEX,NEWARK CITY,MALCOLM X SHABAZZ HIGH SCHOOL,Newark,7102,Public,3,412,434,846,34826
3570,309,13,ESSEX,NEWARK CITY,NEWARK EARLY COLLEGE HIGH SCHOOL,Newark,7102,Public,3,448,486,934,34826
3570,045,13,ESSEX,NEWARK CITY,NEWARK VOCATIONAL HIGH SCHOOL,Newark,7102,Vocational,2,412,433,845,34826
3570,055,13,ESSEX,NEWARK CITY,SCIENCE PARK HIGH SCHOOL,Newark,7102,Public,3,600,585,1185,34826
3570,056,13,ESSEX,NEWARK CITY,TECHNOLOGY HIGH SCHOOL,Newark,7102,Vocational,2,501,500,1001,34826
3570,057,13,ESSEX,NEWARK CITY,UNIVERSITY HIGH SCHOOL,Newark,7102,Public,3,483,479,962,34826
3570,070,13,ESSEX,NEWARK CITY,WEEQUAHIC HIGH SCHOOL,Newark,7102,Public,3,409,422,831,34826
6059,941,13,ESSEX,NEWARK CITY,NEWARK PREP CHARTER SCHOOL,Newark,7102,Charter,1,438,458,896,34826
3590,050,37,SUSSEX,NEWTON TOWN,NEWTON HIGH SCHOOL,Newton,7860,Public,3,559,558,1117,63661
3600,050,3,BERGEN,NORTH ARLINGTON BOROUGH,NORTH ARLINGTON HIGH SCHOOL,North Arlington,7031,Public,3,536,534,1070,74481
3610,050,17,HUDSON,NORTH BERGEN TOWNSHIP,NORTH BERGEN HIGH SCHOOL,North Bergen,7047,Public,3,481,490,971,57269
3620,040,23,MIDDLESEX,NORTH BRUNSWICK TOWNSHIP,NORTH BRUNSWICK TOWNSHIP HIGH SCHOOL,North Brunswick,8902,Public,3,551,555,1106,88723
3670,050,35,SOMERSET,NORTH PLAINFIELD BOROUGH,NORTH PLAINFIELD HIGH SCHOOL,North Plainfield,7060,Public,3,515,508,1023,71895
7320,960,17,HUDSON,NORTH STAR ACADEMY CHARTER SCHOOL,NORTH STAR ACADEMY CHARTER SCHOOL,NEWARK,7102,Charter,1,577,563,1140,24353
3675,050,41,WARREN,NORTH WARREN REGIONAL,NORTH WARREN REGIONAL SCHOOL,Blairstown,7825,Public,3,555,565,1120,91903
3690,050,5,BURLINGTON,NORTHERN BURLINGTON REG,NORTHERN BURLINGTON COUNTY REGIONAL HIGH SCHOOL,Columbus,8022,Public,3,566,578,1144,89770
3700,050,3,BERGEN,NORTHERN HIGHLANDS REG,NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL,Allendale,7401,Public,3,624,624,1248,151875
3710,050,3,BERGEN,NORTHERN VALLEY REGIONAL,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,Demarest,7627,Public,3,638,625,1263,149271
3710,300,3,BERGEN,NORTHERN VALLEY REGIONAL,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,Demarest,7627,Public,3,638,625,1263,149271
3710,060,3,BERGEN,NORTHERN VALLEY REGIONAL,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT OLD TAPPAN,Demarest,7627,Public,3,607,607,1214,149271
3750,050,13,ESSEX,NUTLEY TOWN,NUTLEY HIGH SCHOOL,NUTLEY,7110,Public,3,562,555,1117,93691
3780,050,9,CAPE MAY,OCEAN CITY,OCEAN CITY HIGH SCHOOL,Ocean City,8226,Public,3,568,574,1142,72715
3790,045,29,OCEAN,OCEAN COUNTY VOCATIONAL,MARINE ACADEMY OF TECHNOLOGY AND ENVIRONMENTAL SCIENCE,Toms River,8753,Vocational,2,730,693,1423,77119
3790,055,29,OCEAN,OCEAN COUNTY VOCATIONAL,PERFORMING ARTS ACADEMY OF THE OCEAN COUNTY VOCATIONAL TECH,Toms River,8753,Vocational,2,543,563,1106,77119
3810,030,25,MONMOUTH,OCEAN TOWNSHIP,OCEAN TOWNSHIP HIGH SCHOOL,Oakhurst,7755,Public,3,556,561,1117,83125
3845,040,23,MIDDLESEX,OLD BRIDGE TOWNSHIP,OLD BRIDGE HIGH SCHOOL,Matawan,7747,Public,3,553,561,1114,88540
3910,050,3,BERGEN,PALISADES PARK,PALISADES PARK JR-SR HIGH SCHOOL,Palisades Park,7650,Public,3,550,550,1100,64538
3920,050,5,BURLINGTON,PALMYRA BOROUGH,PALMYRA HIGH SCHOOL,Palmyra,8065,Public,3,513,524,1037,68307
3930,050,3,BERGEN,PARAMUS BOROUGH,PARAMUS HIGH SCHOOL,Paramus,7652,Public,3,571,570,1141,105114
3940,050,3,BERGEN,PARK RIDGE BOROUGH,PARK RIDGE HIGH SCHOOL,Park Ridge,7656,Public,3,582,573,1155,106875
3950,050,27,MORRIS,PARSIPPANY-TROY HILLS TOWNSHIP,PARSIPPANY HIGH SCHOOL,Parsippany,7054,Public,3,576,574,1150,93915
